video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
WUvTyaaNkzM,lecture,essence of calculus,manual,1,14.98,36.19,21.209999999999997,Might Lead Maybe Radius,llm-rerank,Hey,specifically.,89.99999999999986,399.9999999999986,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,2,14.98,57.06,42.08,,llm-rerank,Hey,yourself.,89.99999999999986,370.00000000000455,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,3,16.82,41.92,25.1,,llm-rerank,This,memorized.,100.00000000000142,100.00000000000142,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,4,218.6,246.39,27.789999999999992,These Rectangles,sentence,even,rings.,0.0,269.9999999999818,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,5,419.68,444.05,24.370000000000005,Original Problem Underneath,heuristic-strong,take,3.,60.000000000002274,220.00000000002728,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,6,640.03,689.7,49.67000000000007,Mystery Function Change,heuristic-strong,Calculus,wall.,179.99999999994998,530.0000000000864,False,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,7,944.8,970.24,25.440000000000055,Slight Nudge Derivatives Derivative,llm-rerank,of,explorations.,360.00000000001364,260.0000000001046,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,1,67.16,106.02,38.86,Neural Network Number,llm-rerank,you've,digits.,79.9999999999983,239.99999999999488,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,2,67.16,100.25,33.09,,llm-rerank,you've,learning.,99.99999999999432,150.00000000000568,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,3,85.02,139.16,54.14,,llm-rerank,hope,frills.,19.99999999999602,219.99999999999886,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,4,273.02,303.39,30.370000000000005,Loop Top,llm-rerank,way,that.,199.99999999998863,230.0000000000182,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,5,697.97,750.49,52.51999999999998,Weighted Sum Weights Other,heuristic-strong,Every,ways.,39.99999999996362,779.9999999999727,False,False,False,False,
aircAruvnKk,lecture,neural network,manual,6,762.62,794.56,31.93999999999994,Write Down Vector Matrix,heuristic-strong,thought,improve,19.99999999998181,659.9999999999682,False,True,False,False,
aircAruvnKk,lecture,neural network,manual,7,974.89,1008.21,33.32000000000005,Take Challenge Relu,heuristic-strong,How,you.,80.00000000004093,600.0000000000227,False,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,1,12.84,61.48,48.64,Weighted Sum Digit,heuristic-strong,The,bias.,179.99999999999972,880.0000000000025,False,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,2,428.76,473.82,45.06,,llm-rerank,instead,is.,19.99999999998181,459.99999999997954,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,3,442.38,466.02,23.639999999999986,Negative Gradient Slope Over,llm-rerank,"again,",quickly.,79.99999999998408,319.9999999999932,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,4,442.38,480.33,37.94999999999999,,llm-rerank,"again,",topic.,100.00000000002274,189.99999999999773,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,5,679.32,722.24,42.91999999999996,Network Doing Changes Matter,llm-rerank,a,direction,70.00000000005002,129.99999999999545,True,True,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,6,893.76,913.81,20.049999999999955,Properly Labeled,sentence,It,image.,299.9999999999545,229.9999999999045,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,7,1101.6,1134.38,32.7800000000002,These Networks Year,sentence,the,accuracy,480.0000000000182,120.00000000011823,True,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,1,21.56,43.94,22.38,Four Dimensional,llm-rerank,are,mechanics.,320.0000000000003,359.99999999999943,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,2,130.84,174.58,43.74000000000001,,llm-rerank,even,mechanics.,80.0000000000125,360.00000000001364,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,3,169.28,205.35,36.06999999999999,,llm-rerank,20th,elsewhere.,20.000000000010232,69.99999999999318,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,4,169.28,214.92,45.639999999999986,,llm-rerank,century,multiplication.,319.9999999999932,419.9999999999875,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,5,175.26,214.92,39.66,,llm-rerank,the,multiplication.,39.99999999999204,359.9999999999852,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,6,234.51,265.03,30.519999999999982,Times Equals,heuristic-strong,structure,numbers.,20.000000000010232,479.99999999996135,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,7,440.1,461.05,20.94999999999999,Projected Points,sentence,in,space.,439.9999999999977,370.00000000000455,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,8,678.22,711.56,33.33999999999992,Real Number,llm-rerank,the,direction.,0.0,239.9999999998954,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,9,892.48,927.86,35.379999999999995,Felix Sees,heuristic-strong,The,Felix.,259.9999999999909,279.9999999999727,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,10,1071.77,1125.96,54.190000000000055,Quaternion Multiplication Imaginary,heuristic-strong,Each,products.,759.9999999999909,590.0000000001455,False,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,11,1291.76,1345.94,54.180000000000064,Passing Through Represents,heuristic-strong,The,"picture,",19.99999999998181,340.0000000001455,False,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,12,1600.18,1638.95,38.76999999999998,Gets Rotated,heuristic-strong,Under,left.,680.0000000000637,609.9999999999,False,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,13,1807.8,1840.89,33.090000000000146,Left Hand Acting,heuristic-strong,So,rotation.,39.99999999996362,530.0000000002001,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,1,17.13,52.18,35.05,Varying Signs Topic Squared,heuristic-strong,"So,",other.,80.00000000000185,490.000000000002,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,2,194.74,220.53,25.789999999999992,Output Space,heuristic-strong,For,options.,60.000000000002274,569.9999999999932,False,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,3,449.36,470.57,21.20999999999998,Through Every Boundary,sentence,"also,",dimensions?,180.00000000000682,169.99999999995907,True,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,4,1004.5,1044.84,40.33999999999992,Winding Numbers,heuristic-strong,"Alright,",paths.,19.99999999998181,759.9999999999909,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,5,1204.92,1228.08,23.159999999999854,Winding Number,llm-rerank,once,plane.,279.9999999999727,199.9999999998181,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,6,1204.92,1234.47,29.549999999999955,,llm-rerank,once,five.,279.9999999999727,69.99999999993634,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,7,1213.62,1242.11,28.49000000000001,,llm-rerank,I,loops.,99.99999999990905,210.00000000003638,True,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,8,1291.58,1319.77,28.190000000000055,,llm-rerank,complex,loop.,59.99999999994543,190.00000000005457,True,False,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,1,7.47,32.72,25.25,Never Graduated College Out,sentence,program,world.,120.00000000000011,899.9999999999986,True,False,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,2,451.42,469.95,18.529999999999973,Only Truly,sentence,five,remarkable,9.999999999990905,10.000000000047748,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,3,642.91,663.56,20.649999999999977,Whole Earth Means,sentence,It,Later,179.99999999994998,80.00000000004093,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,4,838.72,871.57,32.85000000000002,Stay Hungry,llm-rerank,their,all,39.99999999996362,29.999999999972715,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,5,838.72,859.37,20.649999999999977,,llm-rerank,their,And,39.99999999996362,9.999999999990905,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,6,838.72,862.71,23.99000000000001,,llm-rerank,their,myself.,39.99999999996362,1269.9999999999818,False,False,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,1,182.04,203.79,21.75,Work Education,llm-rerank,have,status.,39.99999999999204,1030.0000000000011,False,False,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,2,182.04,206.12,24.080000000000013,,llm-rerank,have,you.,39.99999999999204,1460.000000000008,False,False,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,3,182.04,211.85,29.810000000000002,,llm-rerank,have,very,39.99999999999204,259.9999999999909,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,4,182.04,216.59,34.55000000000001,,llm-rerank,have,left.,39.99999999999204,710.000000000008,False,False,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,5,345.63,396.81,51.18000000000001,Boy Said Drawing Wrong,heuristic-strong,I,this?,379.99999999999545,1920.000000000016,True,False,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,6,504.23,558.84,54.610000000000014,You'd Conclude Every,heuristic-strong,was,the,860.0000000000136,49.999999999954525,True,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,7,706.09,757.67,51.57999999999993,View Intelligence Process,heuristic-strong,be,"Suddenly,",100.00000000002274,299.9999999999545,False,True,False,False,
iG9CE55wbtY,speech,creativity in schools,manual,8,827.47,850.33,22.860000000000014,Room She's Gillian,sentence,is,a...,19.99999999998181,80.00000000004093,False,False,False,True,
iG9CE55wbtY,speech,creativity in schools,manual,9,1042.52,1065.6,23.079999999999927,Royal Ballet,sentence,auditioned,"No,",39.99999999996362,399.9999999998636,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,1,295.59,339.24,43.650000000000034,,llm-rerank,things,so,139.99999999998636,59.99999999994543,True,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,2,298.99,353.58,54.589999999999975,,llm-rerank,who,it.,100.00000000002274,599.9999999999659,False,False,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,3,309.0,339.24,30.24000000000001,Strong Sense Enough,llm-rerank,What,so,939.9999999999977,60.000000000002274,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,4,309.0,338.37,29.370000000000005,,llm-rerank,What,hate,939.9999999999977,149.99999999997726,False,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,5,553.63,594.82,41.190000000000055,Control Predict Courage Willingness,heuristic-strong,had,vulnerability,210.00000000003638,2610.0000000000136,True,True,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,6,851.13,871.38,20.25,Said Therapist Breakdown,heuristic-strong,the,vulnerability.,159.99999999996817,570.00000000005,False,False,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,7,958.02,1006.58,48.56000000000006,Numb Perfect Look,heuristic-strong,Here's,muffin.,259.9999999999909,1270.0000000000955,False,False,False,False,
iCvmsMzlF7o,speech,vulnerability shame,manual,8,1145.54,1194.07,48.52999999999997,We're Kinder Seen,sentence,there's,enough.,119.99999999989086,569.9999999999363,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,1,60.96,96.41,35.449999999999996,We've Tracked Asking Most,heuristic-strong,given,creative.,140.00000000000057,929.9999999999926,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,2,370.51,393.43,22.920000000000016,These Lives Lonely,llm-rerank,clearest,kills.,149.99999999997726,1210.0000000000364,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,3,370.51,408.36,37.85000000000002,,llm-rerank,clearest,connected.,129.99999999999545,1420.000000000016,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,4,507.05,553.49,46.44,Count Other Relationships,llm-rerank,the,brains.,60.000000000002274,440.00000000005457,True,False,False,False,
8KkKuTCFvzI,speech,good life relationships,manual,5,651.51,679.23,27.720000000000027,You're You're Might,llm-rerank,like,community.,279.9999999999727,540.0000000000773,True,False,True,False,
