video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
WUvTyaaNkzM,lecture,essence of calculus,manual,1,14.98,36.187,21.206999999999997,Might Lead Maybe Radius,llm-rerank,Hey,specifically.,60.0000000000005,387.00000000000045,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,2,14.98,57.064,42.084,,llm-rerank,Hey,yourself.,60.0000000000005,363.9999999999972,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,3,16.82,41.924,25.104,,llm-rerank,This,memorized.,79.9999999999983,83.99999999999608,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,4,218.6,246.388,27.78800000000001,These Rectangles,sentence,even,rings.,30.000000000001137,278.00000000002,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,5,419.68,444.046,24.365999999999985,Original Problem Underneath,heuristic-strong,take,3.,60.000000000002274,195.99999999996953,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,6,640.5,689.325,48.825000000000045,Mystery Function Change,heuristic-strong,holds,wall.,220.00000000002728,145.0000000000955,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,7,944.8,970.243,25.443000000000097,Slight Nudge Derivatives Derivative,llm-rerank,of,explorations.,360.00000000001364,263.00000000014734,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,1,67.16,106.023,38.863,Neural Network Number,llm-rerank,you've,digits.,79.9999999999983,242.999999999995,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,2,67.16,100.249,33.089,,llm-rerank,you've,learning.,79.9999999999983,149.0000000000009,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,3,85.02,139.164,54.14399999999999,,llm-rerank,hope,frills.,40.00000000000625,204.00000000000773,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,4,273.02,303.391,30.371000000000038,Loop Top,llm-rerank,way,that.,199.99999999998863,211.00000000001273,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,5,698.28,749.942,51.662000000000035,Weighted Sum Weights Other,heuristic-strong,other,ways.,220.00000000002728,302.0000000000209,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,6,762.62,794.162,31.54200000000003,Write Down Vector Matrix,heuristic-strong,thought,improve,19.99999999998181,242.0000000000755,False,True,False,False,
aircAruvnKk,lecture,neural network,manual,7,975.08,1007.867,32.78699999999992,Take Challenge Relu,heuristic-strong,does,you.,59.99999999994543,226.99999999986176,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,1,13.1,60.805,47.705,Weighted Sum Digit,heuristic-strong,The,bias.,99.99999999999964,204.9999999999983,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,2,428.76,473.824,45.06400000000002,,llm-rerank,instead,is.,19.99999999998181,463.99999999999864,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,3,442.38,466.024,23.644000000000005,Negative Gradient Slope Over,llm-rerank,"again,",quickly.,60.000000000002274,304.00000000003047,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,4,442.38,480.33,37.94999999999999,,llm-rerank,"again,",topic.,60.000000000002274,209.99999999997954,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,5,679.32,722.242,42.92199999999991,Network Doing Changes Matter,llm-rerank,a,direction,70.00000000005002,171.99999999991178,True,True,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,6,893.76,913.807,20.047000000000025,Properly Labeled,sentence,It,image.,299.9999999999545,307.00000000001637,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,7,1101.6,1134.384,32.784000000000106,These Networks Year,sentence,the,accuracy,519.9999999999818,104.00000000004184,True,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,1,21.56,43.944,22.384000000000004,Four Dimensional,llm-rerank,are,mechanics.,339.9999999999999,344.0000000000083,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,2,130.84,174.581,43.740999999999985,,llm-rerank,even,mechanics.,80.0000000000125,360.99999999999,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,3,169.28,205.346,36.066,,llm-rerank,20th,elsewhere.,20.000000000010232,45.99999999999227,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,4,169.28,214.923,45.643,,llm-rerank,20th,multiplication.,20.000000000010232,343.00000000001774,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,5,175.26,214.923,39.66300000000001,,llm-rerank,the,multiplication.,39.99999999999204,383.0000000000098,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,6,235.3,264.742,29.442000000000007,Times Equals,heuristic-strong,structure,numbers.,150.00000000000568,192.00000000000728,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,7,440.1,461.047,20.947000000000003,Projected Points,sentence,in,space.,120.00000000000455,427.0000000000209,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,8,678.22,711.562,33.341999999999985,Real Number,llm-rerank,the,direction.,19.99999999998181,241.9999999999618,False,False,False,True,
d4EgbgTm0Bg,lecture,quaternions,manual,9,892.98,927.859,34.87900000000002,Felix Sees,heuristic-strong,you,Felix.,240.0000000000091,278.99999999999636,True,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,10,1071.766,1125.684,53.91799999999989,Quaternion Multiplication Imaginary,heuristic-strong,Each,products.,740.0000000000091,237.99999999982901,False,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,11,1291.76,1345.728,53.968000000000075,Passing Through Represents,heuristic-strong,The,"picture,",19.99999999998181,128.00000000015643,False,True,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,12,1600.178,1638.545,38.36699999999996,Gets Rotated,heuristic-strong,Under,left.,680.0000000000637,196.99999999988904,False,False,False,False,
d4EgbgTm0Bg,lecture,quaternions,manual,13,1808.1,1840.682,32.58200000000011,Left Hand Acting,heuristic-strong,either,rotation.,19.99999999998181,302.0000000001346,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,1,17.44,51.964,34.524,Varying Signs Topic Squared,heuristic-strong,for,other.,219.99999999999886,263.9999999999958,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,2,194.74,220.206,25.46599999999998,Output Space,heuristic-strong,For,options.,99.99999999999432,245.9999999999809,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,3,449.36,470.57,21.20999999999998,Through Every Boundary,sentence,"also,",dimensions?,189.99999999999773,159.99999999996817,True,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,4,1004.98,1044.344,39.36400000000003,Winding Numbers,heuristic-strong,so,paths.,29.999999999972715,213.9999999999418,False,False,True,False,
b7FxPsqfkOY,lecture,complex numbers,manual,5,1204.92,1228.084,23.163999999999987,Winding Number,llm-rerank,once,plane.,279.9999999999727,203.9999999999509,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,6,1204.92,1234.467,29.547000000000025,,llm-rerank,once,five.,279.9999999999727,106.9999999999709,False,False,False,True,
b7FxPsqfkOY,lecture,complex numbers,manual,7,1213.62,1242.108,28.488000000000056,,llm-rerank,I,loops.,119.99999999989086,208.00000000008367,True,False,False,False,
b7FxPsqfkOY,lecture,complex numbers,manual,8,1291.58,1319.765,28.185000000000173,,llm-rerank,complex,loop.,59.99999999994543,175.0000000001819,True,False,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,1,7.47,32.723,25.253,Never Graduated College Out,sentence,program,world.,120.00000000000011,902.9999999999986,True,False,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,2,451.42,479.424,28.003999999999962,Only Truly,sentence,five,And,9.999999999990905,23.999999999944066,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,3,642.91,663.564,20.653999999999996,Whole Earth Means,sentence,It,Later,179.99999999994998,76.00000000002183,False,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,4,838.72,871.571,32.851,Stay Hungry,llm-rerank,their,all,59.99999999994543,30.99999999994907,True,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,5,838.72,859.373,20.65300000000002,,llm-rerank,their,And,59.99999999994543,173.00000000000182,True,True,False,False,
UF8uR6Z6KLc,speech,stay hungry stay foolish,manual,6,838.72,862.708,23.987999999999943,,llm-rerank,their,myself.,59.99999999994543,1227.9999999999518,True,False,False,False,
