video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error,opens_on_topic,topic_concentration,has_definition,structural_label,discourse_marker_density,usable_clip
WUvTyaaNkzM,lecture,essence of calculus,manual,1,14.98,42.202,27.221999999999998,Might Lead Maybe,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,False,1.0,True,intro,4.25531914893617,True
WUvTyaaNkzM,lecture,essence of calculus,manual,2,14.98,57.352,42.372,,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,False,1.0,True,intro,2.857142857142857,True
WUvTyaaNkzM,lecture,essence of calculus,manual,3,14.98,36.564,21.584,,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,False,1.0,True,intro,5.194805194805195,True
aircAruvnKk,lecture,neural network,manual,1,66.652,106.023,39.370999999999995,Neural Network,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,True,substantive,1.3986013986013985,True
aircAruvnKk,lecture,neural network,manual,2,66.652,100.604,33.952,,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,True,substantive,1.6,True
aircAruvnKk,lecture,neural network,manual,3,272.674,303.515,30.841000000000008,Loop Top Subcomponents,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,False,substantive,2.1739130434782608,True
aircAruvnKk,lecture,neural network,manual,4,974.886,1008.214,33.32800000000009,Function Relu Vector,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,False,substantive,3.6036036036036037,True
IHZwWFHWa-w,lecture,gradient descent,manual,1,442.063,474.182,32.11900000000003,Should Step Slope,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,False,1.0,False,substantive,0.0,True
IHZwWFHWa-w,lecture,gradient descent,manual,2,442.063,480.595,38.53200000000004,,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,False,1.0,False,substantive,0.0,True
IHZwWFHWa-w,lecture,gradient descent,manual,3,678.752,722.551,43.79900000000009,Network Doing,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,True,substantive,1.5151515151515151,True
IHZwWFHWa-w,lecture,gradient descent,manual,4,750.331,793.643,43.31200000000001,,llm-rerank,,,-1.0,-1.0,False,False,False,False,download_failed,True,1.0,True,substantive,0.0,True
