video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error,opens_on_topic,topic_concentration,has_definition,structural_label,discourse_marker_density,usable_clip
WUvTyaaNkzM,lecture,essence of calculus,asr_local,1,14.88,42.6,27.72,Might Lead Maybe,whisper-word,Hey,of,9.999999999999787,70.00000000000028,False,True,False,False,,False,1.0,True,intro,3.7037037037037033,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,2,14.88,57.86,42.98,,whisper-word,Hey,"is,",9.999999999999787,70.00000000000028,False,True,False,False,,False,1.0,True,intro,3.75,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,3,14.88,53.06,38.18,,whisper-word,Hey,my,9.999999999999787,90.00000000000341,False,True,False,False,,False,1.0,True,intro,2.8169014084507045,False
aircAruvnKk,lecture,neural network,asr_local,1,66.801,105.841,39.03999999999999,Neural Network,whisper-word,Unless,digits.,19.99999999999602,59.99999999998806,False,False,False,True,,True,1.0,True,substantive,1.3245033112582782,True
aircAruvnKk,lecture,neural network,asr_local,2,74.99,105.81,30.820000000000007,,whisper-word,But,digits.,19.99999999999602,40.00000000000625,False,False,False,True,,True,1.0,True,intro,1.6666666666666667,True
aircAruvnKk,lecture,neural network,asr_local,3,84.85,105.83,20.980000000000004,,whisper-word,My,digits.,40.00000000000625,40.00000000000625,False,False,False,True,,True,1.0,True,intro,0.0,True
IHZwWFHWa-w,lecture,gradient descent,asr_local,1,446.69,474.63,27.939999999999998,Most Quickly Direction Vector,whisper-word,of,if,40.000000000020464,60.000000000002274,False,True,False,False,,False,1.0,False,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,2,497.21,524.51,27.30000000000001,,whisper-word,if,It's,19.99999999998181,39.99999999996362,False,True,False,False,,False,1.0,False,substantive,2.9702970297029703,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,3,674.88,715.16,40.27999999999997,,whisper-word,of,quickly.,19.99999999998181,59.99999999994543,False,False,False,True,,False,1.0,True,substantive,1.4925373134328357,True
IHZwWFHWa-w,lecture,gradient descent,asr_local,4,679.36,716.0,36.639999999999986,All These Changes Matter,whisper-word,a,that,29.999999999972715,49.999999999954525,False,True,False,False,,False,1.0,True,substantive,1.4492753623188406,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,5,742.7,794.15,51.44999999999993,,whisper-word,The,the,19.99999999998181,60.00000000005912,False,True,False,False,,False,1.0,True,substantive,0.0,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,1,169.123,205.343,36.22,Times Equals,whisper-word,The,elsewhere.,0.0,90.00000000000341,False,False,False,True,,True,1.0,True,substantive,1.680672268907563,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,2,169.13,223.91,54.78,,whisper-word,The,people,0.0,1900.0000000000057,False,True,False,False,,True,1.0,True,substantive,2.4875621890547266,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,3,169.183,192.083,22.900000000000006,Quantum Mechanics Discovery,whisper-word,The,glory.,0.0,20.000000000010232,False,False,False,True,,True,1.0,True,substantive,1.3888888888888888,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,4,1267.07,1312.6,45.52999999999997,Negative Negative,whisper-word,which,sphere.,39.99999999996362,39.99999999996362,False,False,False,True,,True,1.0,True,substantive,0.8547008547008548,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,5,1278.15,1312.6,34.44999999999982,,whisper-word,us.,sphere.,19.99999999998181,69.99999999970896,False,False,False,True,,True,1.0,False,substantive,1.1111111111111112,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,1,1195.42,1228.96,33.539999999999964,,whisper-word,in,It,59.99999999994543,59.99999999994543,False,True,False,False,,False,1.0,False,substantive,2.0202020202020203,False
b7FxPsqfkOY,lecture,complex numbers,asr_local,2,1213.7,1234.36,20.659999999999854,Winding Numbers,whisper-word,I,5.,19.99999999998181,19.999999999754436,False,False,False,True,,False,1.0,False,substantive,1.4084507042253522,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,3,1213.7,1241.94,28.24000000000001,,whisper-word,I,loops.,19.99999999998181,39.99999999996362,False,False,False,True,,False,1.0,False,substantive,1.0204081632653061,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,4,1291.6,1326.74,35.1400000000001,Winding Number Term,whisper-word,complex,zero.,39.99999999996362,30.00000000020009,False,False,False,True,,False,1.0,False,substantive,0.0,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,5,1291.6,1320.72,29.12000000000012,,whisper-word,complex,in,39.99999999996362,49.999999999954525,False,True,False,False,,False,1.0,False,substantive,0.0,False
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,1,837.41,870.05,32.639999999999986,,whisper-word,On,foolish.,9.999999999990905,29.999999999972715,False,False,False,True,,False,1.0,False,substantive,0.0,True
