video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error,opens_on_topic,topic_concentration,has_definition,structural_label,discourse_marker_density,usable_clip
WUvTyaaNkzM,lecture,essence of calculus,asr_local,1,23.74,57.826,34.086,Might Lead Maybe,whisper-word,The,That,460.00000000000085,26.000000000003354,False,True,False,False,,False,1.0,True,substantive,3.597122302158273,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,2,23.74,67.157,43.417,,whisper-word,The,Inventing,460.00000000000085,43.00000000000637,False,True,False,False,,False,1.0,True,substantive,3.0303030303030303,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,3,920.2,950.565,30.36500000000001,Input Function Nudge,whisper-word,And,what,70.00000000005002,95.00000000002728,False,True,False,False,,False,1.0,False,substantive,0.0,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,4,920.2,972.74,52.539999999999964,,whisper-word,And,And,70.00000000005002,19.99999999998181,False,True,False,False,,False,1.0,False,substantive,0.0,False
aircAruvnKk,lecture,neural network,asr_local,1,66.751,105.841,39.08999999999999,Neural Network,whisper-word,Unless,digits.,120.00000000000455,49.99999999999716,False,False,False,True,,True,1.0,True,substantive,1.3245033112582782,True
aircAruvnKk,lecture,neural network,asr_local,2,66.751,100.161,33.41,,whisper-word,Unless,learning.,79.9999999999983,69.99999999999318,False,False,False,True,,True,1.0,True,substantive,1.4705882352941175,True
aircAruvnKk,lecture,neural network,asr_local,3,762.04,794.01,31.970000000000027,Matrix Vector Function,whisper-word,One,improve.,100.00000000002274,90.00000000003183,False,False,False,True,,False,1.0,True,substantive,5.64516129032258,True
aircAruvnKk,lecture,neural network,asr_local,4,975.066,1008.319,33.25299999999993,Take Challenge Relu,whisper-word,How,you.,100.00000000002274,692.9999999999836,True,False,False,False,,True,1.0,False,substantive,3.10077519379845,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,1,446.16,474.487,28.326999999999998,Most Quickly Direction Vector,whisper-word,Those,Now,139.99999999998636,93.00000000001774,False,True,False,False,,False,1.0,False,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,2,644.59,694.041,49.45100000000002,,whisper-word,Each,This,120.00000000000455,0.9999999999763531,False,True,False,False,,False,1.0,True,substantive,1.3245033112582782,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,3,678.83,730.922,52.091999999999985,,whisper-word,So,That,419.9999999999591,28.00000000002001,False,True,True,False,,False,1.0,True,substantive,3.2085561497326207,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,4,739.28,794.085,54.805000000000064,,whisper-word,"Alright,","Well,",70.00000000005002,34.99999999996817,False,True,True,False,,False,1.0,True,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,5,750.55,794.085,43.53500000000008,All These Changes Matter,whisper-word,The,"Well,",80.00000000004093,14.99999999987267,True,True,False,False,,False,1.0,True,substantive,0.0,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,1,169.073,205.343,36.26999999999998,Times Equals,whisper-word,The,elsewhere.,80.0000000000125,49.99999999998295,False,False,False,True,,True,1.0,True,substantive,1.680672268907563,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,2,169.08,223.768,54.68799999999999,,whisper-word,The,"it,",20.000000000010232,447.9999999999791,False,True,False,False,,True,1.0,True,substantive,2.4875621890547266,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,3,169.133,192.761,23.627999999999986,Quantum Mechanics Discovery,whisper-word,The,glory.,120.00000000000455,707.9999999999984,False,False,False,False,,True,1.0,True,substantive,2.083333333333333,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,4,1267.02,1312.6,45.57999999999993,Negative Negative,whisper-word,which,sphere.,79.99999999992724,9.999999999990905,False,False,False,True,,False,1.0,True,substantive,0.5988023952095809,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,5,1277.78,1312.6,34.819999999999936,,whisper-word,onto,sphere.,79.99999999992724,49.999999999954525,True,False,False,False,,True,1.0,True,substantive,0.8547008547008548,False
b7FxPsqfkOY,lecture,complex numbers,asr_local,1,1204.01,1235.269,31.259000000000015,,whisper-word,"Now,",five.,440.00000000005457,939.0000000000782,False,False,True,False,,False,1.0,False,substantive,0.9433962264150944,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,2,1204.31,1228.825,24.5150000000001,Winding Numbers,whisper-word,"Now,",It,359.99999999989996,84.999999999809,False,True,True,False,,False,1.0,False,substantive,1.2048192771084338,False
b7FxPsqfkOY,lecture,complex numbers,asr_local,3,1285.301,1327.475,42.17399999999998,,whisper-word,By,zero.,299.9999999999545,793.999999999869,False,False,False,False,,True,1.0,False,substantive,0.0,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,4,1290.49,1327.475,36.9849999999999,Winding Number Term,whisper-word,be,zero.,19.99999999998181,764.9999999998727,False,False,False,False,,False,1.0,False,substantive,0.0,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,5,1290.49,1331.78,41.289999999999964,,whisper-word,be,algebra.,19.99999999998181,69.99999999993634,False,False,False,True,,False,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,1,837.36,871.99,34.629999999999995,,whisper-word,On,much.,70.00000000005002,59.99999999994543,False,False,False,True,,False,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,2,847.94,899.41,51.469999999999914,Stay Hungry,whisper-word,it,University.,480.0000000000182,109.99999999989996,True,False,False,False,,True,1.0,False,substantive,0.0,False
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,3,847.94,870.05,22.1099999999999,,whisper-word,it,foolish.,480.0000000000182,9.999999999877218,True,False,False,False,,True,1.0,False,substantive,0.0,False
iG9CE55wbtY,speech,creativity in schools,asr_local,1,38.167,60.341,22.174,,llm-rerank,There,it.,2780.000000000001,443.9999999999955,False,False,False,False,,False,1.0,True,substantive,1.4492753623188406,True
iG9CE55wbtY,speech,creativity in schools,asr_local,2,166.261,215.881,49.620000000000005,,whisper-word,their,left.,99.99999999999432,60.000000000002274,True,False,False,False,,False,1.0,True,substantive,0.7692307692307693,False
iG9CE55wbtY,speech,creativity in schools,asr_local,3,171.569,217.12,45.551000000000016,Work Education,whisper-word,just,left.,20.000000000010232,1301.0000000000161,False,False,False,False,,False,1.0,True,substantive,0.8695652173913043,True
iCvmsMzlF7o,speech,vulnerability shame,asr_local,1,308.63,354.742,46.11200000000002,When Ask Connection,whisper-word,What,So,100.00000000002274,87.99999999996544,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,2,308.63,360.435,51.80500000000001,,whisper-word,What,As,100.00000000002274,4.9999999999954525,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,3,582.97,615.303,32.33299999999997,Strong Sense,whisper-word,The,They,70.00000000005002,2.9999999999290594,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,4,853.52,876.923,23.40300000000002,Control Predict Said Therapist,whisper-word,I,vulnerability?,19.99999999998181,1483.000000000061,False,False,False,False,,False,1.0,False,substantive,4.054054054054054,True
iCvmsMzlF7o,speech,vulnerability shame,asr_local,5,866.12,896.597,30.476999999999975,Want Feel Numb Perfect,whisper-word,the,Because,90.00000000003183,26.99999999992997,True,True,False,False,,False,1.0,False,substantive,1.0204081632653061,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,6,866.12,901.555,35.434999999999945,,whisper-word,the,Having,90.00000000003183,34.99999999996817,True,True,False,False,,False,1.0,False,substantive,1.7857142857142856,False
8KkKuTCFvzI,speech,good life relationships,asr_local,1,305.003,328.773,23.77000000000004,,whisper-word,me?,rooms.,60.000000000002274,50.00000000006821,True,False,False,False,,True,1.0,False,substantive,0.0,False
8KkKuTCFvzI,speech,good life relationships,asr_local,2,305.003,352.393,47.389999999999986,These Teenagers Lonely,whisper-word,me?,learned?,60.000000000002274,29.999999999972715,True,False,False,False,,True,0.8403361344537815,False,substantive,0.8403361344537815,False
8KkKuTCFvzI,speech,good life relationships,asr_local,3,617.974,637.984,20.00999999999999,Count Other Relationships You're,whisper-word,we're,lifelong.,49.999999999954525,59.99999999994543,False,False,False,True,,True,1.0,False,substantive,0.0,True
