video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error,opens_on_topic,topic_concentration,has_definition,structural_label,discourse_marker_density,usable_clip
WUvTyaaNkzM,lecture,essence of calculus,asr_local,1,23.74,57.826,34.086,Might Lead Maybe,whisper-word,The,That,460.00000000000085,26.000000000003354,False,True,False,False,,False,1.0,True,substantive,3.597122302158273,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,2,23.74,67.157,43.417,,whisper-word,The,Inventing,460.00000000000085,43.00000000000637,False,True,False,False,,False,1.0,True,substantive,3.0303030303030303,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,3,920.2,950.565,30.36500000000001,Input Function Nudge,whisper-word,And,what,70.00000000005002,95.00000000002728,False,True,False,False,,False,1.0,False,substantive,0.0,False
WUvTyaaNkzM,lecture,essence of calculus,asr_local,4,920.2,972.74,52.539999999999964,,whisper-word,And,And,70.00000000005002,19.99999999998181,False,True,False,False,,False,1.0,False,substantive,0.0,False
aircAruvnKk,lecture,neural network,asr_local,1,66.751,107.3,40.54899999999999,Neural Network,whisper-word,Unless,digits.,120.00000000000455,1509.0000000000005,False,False,False,False,,True,1.0,True,substantive,1.3245033112582782,True
aircAruvnKk,lecture,neural network,asr_local,2,66.751,100.415,33.664,,whisper-word,Unless,learning.,79.9999999999983,323.99999999999807,False,False,False,True,,True,1.0,True,substantive,1.4705882352941175,True
aircAruvnKk,lecture,neural network,asr_local,3,762.04,794.162,32.12200000000007,Matrix Vector Function,whisper-word,One,improve.,80.00000000004093,202.00000000011187,False,False,False,True,,False,1.0,True,substantive,5.64516129032258,True
aircAruvnKk,lecture,neural network,asr_local,4,975.066,1008.319,33.25299999999993,Take Challenge Relu,whisper-word,How,you.,100.00000000002274,692.9999999999836,True,False,False,False,,True,1.0,False,substantive,3.10077519379845,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,1,446.16,474.487,28.326999999999998,Most Quickly Direction Vector,whisper-word,Those,Now,139.99999999998636,93.00000000001774,False,True,False,False,,False,1.0,False,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,2,644.59,694.041,49.45100000000002,,whisper-word,Each,This,120.00000000000455,0.9999999999763531,False,True,False,False,,False,1.0,True,substantive,1.3245033112582782,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,3,679.31,730.922,51.61200000000008,,whisper-word,a,That,80.00000000004093,7.999999999924512,True,True,False,False,,False,1.0,True,substantive,3.2085561497326207,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,4,739.94,794.085,54.14499999999998,,whisper-word,let's,"Well,",100.00000000002274,4.9999999999954525,False,True,False,False,,False,1.0,True,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,5,750.55,794.085,43.53500000000008,All These Changes Matter,whisper-word,The,"Well,",80.00000000004093,14.99999999987267,True,True,False,False,,False,1.0,True,substantive,0.0,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,1,169.073,205.765,36.69199999999998,Times Equals,whisper-word,The,elsewhere.,80.0000000000125,471.99999999998,False,False,False,True,,True,1.0,True,substantive,1.9867549668874174,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,2,169.08,223.768,54.68799999999999,,whisper-word,The,"it,",20.000000000010232,447.9999999999791,False,True,False,False,,True,1.0,True,substantive,2.4875621890547266,False
d4EgbgTm0Bg,lecture,quaternions,asr_local,3,169.133,192.761,23.627999999999986,Quantum Mechanics Discovery,whisper-word,The,glory.,120.00000000000455,707.9999999999984,False,False,False,False,,True,1.0,True,substantive,2.083333333333333,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,4,1267.02,1320.293,53.27299999999991,Negative Negative,whisper-word,which,sphere.,79.99999999992724,7742.999999999938,False,False,False,False,,False,1.0,True,substantive,0.53475935828877,True
d4EgbgTm0Bg,lecture,quaternions,asr_local,5,1277.78,1320.293,42.51299999999992,,whisper-word,onto,sphere.,79.99999999992724,7762.99999999992,True,False,False,False,,True,1.0,True,substantive,0.7299270072992701,False
b7FxPsqfkOY,lecture,complex numbers,asr_local,1,1205.11,1228.825,23.715000000000146,Winding Numbers,whisper-word,once,It,89.99999999991815,425.0000000001819,False,True,False,False,,False,1.0,False,substantive,1.3157894736842104,False
b7FxPsqfkOY,lecture,complex numbers,asr_local,2,1205.11,1235.269,30.159000000000106,,whisper-word,once,five.,89.99999999991815,929.0000000000873,False,False,False,False,,False,1.0,False,substantive,1.0101010101010102,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,3,1285.301,1327.475,42.17399999999998,,whisper-word,By,zero.,299.9999999999545,793.999999999869,False,False,False,False,,True,1.0,False,substantive,0.0,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,4,1290.49,1327.475,36.9849999999999,Winding Number Term,whisper-word,be,zero.,19.99999999998181,764.9999999998727,False,False,False,False,,False,1.0,False,substantive,0.0,True
b7FxPsqfkOY,lecture,complex numbers,asr_local,5,1290.49,1333.031,42.54099999999994,,whisper-word,be,algebra.,19.99999999998181,1340.9999999998945,False,False,False,False,,False,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,1,837.36,872.158,34.798,,whisper-word,On,much.,70.00000000005002,207.99999999997,False,False,False,True,,False,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,2,847.94,899.774,51.833999999999946,Stay Hungry,whisper-word,it,University.,480.0000000000182,433.9999999999691,True,False,False,False,,True,1.0,False,substantive,0.0,False
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,3,847.94,869.936,21.99599999999998,,whisper-word,it,foolish.,480.0000000000182,84.00000000006003,True,False,False,False,,True,1.0,False,substantive,0.0,False
iG9CE55wbtY,speech,creativity in schools,asr_local,1,38.167,60.341,22.174,,llm-rerank,There,it.,2780.000000000001,443.9999999999955,False,False,False,False,,False,1.0,True,substantive,1.4492753623188406,True
iG9CE55wbtY,speech,creativity in schools,asr_local,2,166.261,217.12,50.85900000000001,,whisper-word,their,left.,99.99999999999432,1299.0000000000066,True,False,False,False,,False,1.0,True,substantive,0.7692307692307693,False
iG9CE55wbtY,speech,creativity in schools,asr_local,3,171.569,217.12,45.551000000000016,Work Education,whisper-word,just,left.,20.000000000010232,1301.0000000000161,False,False,False,False,,False,1.0,True,substantive,0.8695652173913043,True
iCvmsMzlF7o,speech,vulnerability shame,asr_local,1,308.63,354.742,46.11200000000002,When Ask Connection,whisper-word,What,So,100.00000000002274,87.99999999996544,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,2,308.63,360.435,51.80500000000001,,whisper-word,What,As,100.00000000002274,4.9999999999954525,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,3,582.97,615.303,32.33299999999997,Strong Sense,whisper-word,The,They,70.00000000005002,2.9999999999290594,False,True,False,False,,False,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,4,853.52,876.923,23.40300000000002,Control Predict Said Therapist,whisper-word,I,vulnerability?,19.99999999998181,1483.000000000061,False,False,False,False,,False,1.0,False,substantive,4.054054054054054,True
iCvmsMzlF7o,speech,vulnerability shame,asr_local,5,866.12,896.597,30.476999999999975,Want Feel Numb Perfect,whisper-word,the,Because,90.00000000003183,26.99999999992997,True,True,False,False,,False,1.0,False,substantive,1.0204081632653061,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,6,866.12,901.555,35.434999999999945,,whisper-word,the,Having,90.00000000003183,34.99999999996817,True,True,False,False,,False,1.0,False,substantive,1.7857142857142856,False
8KkKuTCFvzI,speech,good life relationships,asr_local,1,305.003,328.925,23.922000000000025,,whisper-word,me?,rooms.,60.000000000002274,222.00000000003683,True,False,False,False,,True,1.0,False,substantive,0.0,False
8KkKuTCFvzI,speech,good life relationships,asr_local,2,305.003,353.042,48.03899999999999,These Teenagers Lonely,whisper-word,me?,learned?,60.000000000002274,699.0000000000123,True,False,False,False,,True,0.7246376811594204,False,substantive,0.7246376811594203,False
8KkKuTCFvzI,speech,good life relationships,asr_local,3,617.974,638.359,20.38499999999999,Count Other Relationships You're,whisper-word,we're,lifelong.,49.999999999954525,434.99999999994543,False,False,False,True,,True,1.0,False,substantive,0.0,True
