video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error
WUvTyaaNkzM,lecture,essence of calculus,manual,1,14.98,36.19,21.209999999999997,Might Lead Maybe Radius,llm-rerank,Hey,specifically.,89.99999999999986,399.9999999999986,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,2,14.98,57.06,42.08,,llm-rerank,Hey,yourself.,89.99999999999986,370.00000000000455,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,3,16.82,41.92,25.1,,llm-rerank,This,memorized.,100.00000000000142,100.00000000000142,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,4,218.6,246.39,27.789999999999992,These Rectangles,sentence,even,rings.,0.0,269.9999999999818,False,False,False,True,
WUvTyaaNkzM,lecture,essence of calculus,manual,5,419.68,444.05,24.370000000000005,Original Problem Underneath,heuristic-strong,take,3.,60.000000000002274,220.00000000002728,True,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,6,640.03,689.7,49.67000000000007,Mystery Function Change,heuristic-strong,Calculus,wall.,179.99999999994998,530.0000000000864,False,False,False,False,
WUvTyaaNkzM,lecture,essence of calculus,manual,7,944.8,970.24,25.440000000000055,Slight Nudge Derivatives Derivative,llm-rerank,of,explorations.,360.00000000001364,260.0000000001046,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,1,67.16,106.02,38.86,Neural Network Number,llm-rerank,you've,digits.,79.9999999999983,239.99999999999488,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,2,67.16,100.25,33.09,,llm-rerank,you've,learning.,99.99999999999432,150.00000000000568,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,3,85.02,139.16,54.14,,llm-rerank,hope,frills.,19.99999999999602,219.99999999999886,False,False,False,True,
aircAruvnKk,lecture,neural network,manual,4,273.02,303.39,30.370000000000005,Loop Top,llm-rerank,way,that.,199.99999999998863,230.0000000000182,True,False,False,False,
aircAruvnKk,lecture,neural network,manual,5,697.97,750.49,52.51999999999998,Weighted Sum Weights Other,heuristic-strong,Every,ways.,39.99999999996362,779.9999999999727,False,False,False,False,
aircAruvnKk,lecture,neural network,manual,6,762.62,794.56,31.93999999999994,Write Down Vector Matrix,heuristic-strong,thought,improve,19.99999999998181,659.9999999999682,False,True,False,False,
aircAruvnKk,lecture,neural network,manual,7,974.89,1008.21,33.32000000000005,Take Challenge Relu,heuristic-strong,How,you.,80.00000000004093,600.0000000000227,False,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,1,12.84,61.48,48.64,Weighted Sum Digit,heuristic-strong,The,bias.,179.99999999999972,880.0000000000025,False,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,2,428.76,473.82,45.06,,llm-rerank,instead,is.,19.99999999998181,459.99999999997954,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,3,442.38,466.02,23.639999999999986,Negative Gradient Slope Over,llm-rerank,"again,",quickly.,79.99999999998408,319.9999999999932,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,4,442.38,480.33,37.94999999999999,,llm-rerank,"again,",topic.,100.00000000002274,189.99999999999773,True,False,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,5,679.32,722.24,42.91999999999996,Network Doing Changes Matter,llm-rerank,a,direction,70.00000000005002,129.99999999999545,True,True,False,False,
IHZwWFHWa-w,lecture,gradient descent,manual,6,893.76,913.81,20.049999999999955,Properly Labeled,sentence,It,image.,299.9999999999545,229.9999999999045,False,False,False,True,
IHZwWFHWa-w,lecture,gradient descent,manual,7,1101.6,1134.38,32.7800000000002,These Networks Year,sentence,the,accuracy,480.0000000000182,120.00000000011823,True,True,False,False,
